time,temperature,risk
2026-02-01 23:04:05.317506,23.5,1
2026-02-01 23:24:06.246378,23.4,1
2026-02-13 21:23:02.895203,25.3,1
2026-02-13 21:39:43.062520,25.1,1
2026-02-14 01:46:14.178263,22.0,1
